 ,0,3600,7200,10800,14400,18000,21600,25200,28800,32400,36000,39600,43200,46800,50400,54000,57600,61200,64800,68400,72000,75600,79200,82800,86400
J-1,84.5593,84.9523,85.2969,85.4492,85.5223,85.5346,85.4639,85.1786,84.8316,84.5698,84.3292,84.1225,83.9344,83.7794,83.6058,83.4192,83.2065,82.9295,82.5741,79.7207,79.0656,78.8534,80.6538,81.4049,81.6757,
J-10,83.1157,83.5256,83.8793,84.0604,84.1607,84.1991,84.1577,83.9226,83.6186,83.3777,83.1512,82.9515,82.767,82.611,82.4396,82.2568,82.0508,81.7878,81.4535,79.1443,78.5037,78.2249,79.6042,80.1782,80.398,
J-100,85.9524,86.365,86.7173,86.9005,87.0033,87.0446,87.0072,86.7806,86.4845,86.247,86.0224,85.8231,85.6383,85.481,85.309,85.1262,84.9209,84.6602,84.3302,82.1164,81.4781,81.1845,82.4738,83.0118,83.2213,
J-102,56.4106,56.2877,56.3012,56.379,56.4433,56.3949,56.1021,55.2256,53.6508,51.8721,12.442,12.4409,13.1379,14.7677,15.311,15.3098,14.4632,11.3337,5.09467,-3.87377,-6.59984,-2.24665,22.8439,42.4875,51.3088,
J-103,57.8286,57.7044,57.7164,57.7927,57.8554,57.8052,57.5104,56.6314,55.0545,53.2745,13.8291,13.8279,14.5263,16.1604,16.7055,16.7043,15.8549,12.7188,6.47254,-2.45327,-5.17941,-0.826124,24.2318,43.8554,52.671,
J-104,56.4096,56.2866,56.3002,56.3779,56.4423,56.3939,56.1013,55.2254,53.651,51.8725,12.4413,12.4402,13.1372,14.767,15.3103,15.3091,14.4625,11.333,5.09399,-3.87453,-6.60065,-2.24738,22.8433,42.4867,51.3078,
J-105,63.4767,63.3682,63.3837,63.4539,63.499,63.4182,63.0788,62.1023,60.4541,58.659,19.6162,19.6151,20.3133,21.9495,22.4967,22.4956,21.6433,18.5073,12.2791,3.47571,0.860216,5.03844,29.9116,49.3889,58.1534,
J-106,63.4764,63.3679,63.3835,63.4536,63.4987,63.4179,63.0784,62.1017,60.4534,58.6583,19.6165,19.6153,20.3135,21.9497,22.4969,22.4957,21.6435,18.5075,12.2795,3.4762,0.860745,5.0389,29.9116,49.3888,58.1532,
J-107,54.9903,54.8687,54.8839,54.9632,55.029,54.9823,54.6912,53.8167,52.2436,50.4663,11.0545,11.0533,11.7489,13.3745,13.9158,13.9147,13.0709,9.94814,3.71623,-5.29449,-8.02051,-3.66741,21.4553,41.1181,49.9447,
J-108,58.0285,57.9378,57.9656,58.0409,58.0853,58.0042,57.6702,56.7243,55.1366,53.3934,15.6162,15.6151,16.2841,17.8508,18.374,18.3729,17.5577,14.5534,8.58427,0.143459,-2.42561,1.6518,25.615,44.5544,53.105,
J-11,87.3895,87.7897,88.136,88.2974,88.3795,88.4003,88.3391,88.0701,87.7369,87.4817,87.2454,87.0405,86.8531,86.6973,86.5238,86.3379,86.1267,85.8538,85.5047,82.8464,82.1953,81.9566,83.5968,84.2799,84.5303,
J-110,62.0555,61.9485,61.9656,62.0373,62.0838,62.0046,61.6665,60.6915,59.0446,57.2508,18.2279,18.2267,18.9236,20.5555,21.1009,21.0997,20.2502,17.1209,10.9003,2.10305,-0.52766,3.66541,28.5215,48.0182,56.7877,
J-111,70.4312,70.317,70.3252,70.388,70.4256,70.3362,69.9869,68.995,67.3355,65.5369,26.5435,26.5423,27.2462,28.8992,29.4539,29.4528,28.5894,25.4269,19.1704,10.3445,7.72507,11.911,36.7985,56.1306,64.8534,
J-112,60.6205,60.5692,60.6124,60.6839,60.705,60.5817,60.1802,59.0681,57.3868,55.6814,19.6693,19.6681,20.3458,21.9396,22.4761,22.475,21.6404,18.5942,12.5815,4.11287,1.60282,5.61433,29.3767,47.6313,55.8924,
J-113,52.0253,52.2192,52.3399,52.347,52.2096,51.9388,51.491,50.4995,49.7288,49.4278,48.8745,48.825,48.8331,48.9315,48.9421,48.9,48.7761,48.4793,48.0272,47.495,46.1747,46.3892,49.1589,50.6465,51.1686,
J-114,52.0326,52.2266,52.3473,52.3544,52.2169,51.9461,51.4983,50.5066,49.7358,49.4347,48.8814,48.8318,48.8397,48.938,48.9487,48.9065,48.7825,48.4856,48.0332,47.501,46.1783,46.393,49.164,50.6522,51.1744,
J-115,47.4851,47.6792,47.7996,47.8068,47.6696,47.3989,46.9514,45.96,45.1898,44.8894,44.3301,44.2814,44.2904,44.3899,44.4015,44.3601,44.2366,43.9399,43.4876,42.9554,41.6567,41.8716,44.6361,46.1219,46.6433,
