 ,0,3600,7200,10800,14400,18000,21600,25200,28800,32400,36000,39600,43200,46800,50400,54000,57600,61200,64800,68400,72000,75600,79200,82800,86400
J-1,57.5895,57.856,58.0721,58.2485,58.384,58.4795,58.8467,59.2329,59.5716,59.9178,60.2685,60.6272,60.9955,61.3809,61.4038,61.4503,61.1729,60.7292,60.6875,60.5496,60.4565,60.4048,60.5163,60.9923,61.55,
J-10,68.2278,66.3682,64.9038,63.9345,63.2753,64.312,66.0379,68.068,68.872,69.4505,69.9296,70.3952,70.8835,71.4602,66.9483,65.1733,63.5413,63.4528,64.1895,64.6306,64.9119,65.1911,66.4746,69.7089,72.2917,
J-100,73.7315,71.4331,69.6471,68.4445,67.6978,71.5173,73.1786,75.0542,75.9412,76.5614,77.0455,77.4859,77.9343,78.4471,71.5622,69.5783,67.7987,70.4433,71.3169,71.8285,72.1495,72.444,73.5487,76.6217,79.1733,
J-101,72.033,69.7567,67.9878,66.7958,66.0508,70.0384,71.7164,73.6209,74.5358,75.1676,75.6578,76.0996,76.547,77.0551,70.0404,68.0262,66.2487,69.0501,69.9454,70.4848,70.8183,71.1074,72.1304,75.1575,77.6908,
J-102,70.0811,67.7972,66.0237,64.8239,64.0753,68.0194,69.7001,71.5907,72.512,73.1488,73.6432,74.0883,74.5384,75.0486,68.1832,66.1256,64.3446,67.027,67.9294,68.4742,68.8135,69.1072,70.1303,73.1419,75.6752,
J-103,59.1441,57.0822,55.4596,54.3651,53.665,53.2422,56.3994,57.9915,58.6603,59.1976,59.6642,60.1409,60.6501,61.2578,57.3635,55.5668,53.9512,52.1661,54.4275,54.7125,54.924,55.2045,56.8867,59.9578,62.5307,
J-104,54.1434,52.0811,50.458,49.3625,48.6624,48.2424,51.3616,52.9558,53.6328,54.1761,54.6477,55.1289,55.6422,56.2536,52.3952,50.5889,48.9797,47.1981,49.4256,49.7197,49.9348,50.2147,51.8836,54.9555,57.5326,
J-105,81.8066,79.9647,78.5083,77.5359,76.8898,78.079,79.6559,81.4112,82.0442,82.5473,82.9824,83.423,83.8944,84.4615,79.841,78.4543,76.812,77.2771,77.971,78.2666,78.4228,78.6298,80.0249,83.1421,85.6488,
J-106,81.5626,79.7215,78.2657,77.2936,76.6478,77.833,79.4093,81.1624,81.7953,82.2986,82.7338,83.1745,83.646,84.2132,79.6052,78.2173,76.5759,77.029,77.723,78.0193,78.1761,78.3832,79.7785,82.8942,85.4004,
J-107,62.2874,61.2452,60.3678,59.778,59.1522,60.826,62.1542,63.7163,64.0467,64.4587,64.8572,65.3026,65.7988,66.4237,61.5797,59.8382,58.3414,58.4951,58.7145,58.9021,59.1425,59.5856,61.9602,66.0478,68.795,
