ID,Modified_cluster_id
J-1,0
J-10,0
J-1008,0
J-1011,0
J-1038,0
J-1048,0
J-1059,0
J-1084,0
J-1094,0
J-1120,0
J-1125,0
J-1139,0
J-1142,0
J-1144,0
J-1145,0
J-1154,0
J-116,0
J-121,0
J-1261,0
J-1265,0
J-1271,0
J-129,0
J-1297,0
J-1302,0
J-1312,0
J-1313,0
J-1314,0
J-1315,0
J-1316,0
J-133,0
J-143,0
J-162,0
J-178,0
J-188,0
J-192,0
J-193,0
J-194,0
J-2,0
J-217,0
J-224,0
J-225,0
J-234,0
J-235,0
J-236,0
J-237,0
J-240,0
J-241,0
J-251,0
J-253,0
J-258,0
J-259,0
J-266,0
J-267,0
J-279,0
J-284,0
J-285,0
J-286,0
J-287,0
J-306,0
J-307,0
J-32,0
J-322,0
J-323,0
J-33,0
J-338,0
J-339,0
J-343,0
J-344,0
J-382,0
J-383,0
J-391,0
J-392,0
J-399,0
J-414,0
J-415,0
J-417,0
J-436,0
J-439,0
J-440,0
J-491,0
J-492,0
J-51,0
J-52,0
J-534,0
J-535,0
J-536,0
J-537,0
J-556,0
J-557,0
J-584,0
J-642,0
J-648,0
J-652,0
J-653,0
J-660,0
J-661,0
J-662,0
J-693,0
J-700,0
J-701,0
J-720,0
J-723,0
J-724,0
J-733,0
J-738,0
J-744,0
J-759,0
J-760,0
J-764,0
J-765,0
J-784,0
J-789,0
J-795,0
J-796,0
J-844,0
J-845,0
J-848,0
J-849,0
J-85,0
J-854,0
J-855,0
J-856,0
J-86,0
J-885,0
J-891,0
J-9,0
J-929,0
J-934,0
J-941,0
J-944,0
J-945,0
J-966,0
J-998,0
J-100,1
J-1003,1
J-1014,1
J-1015,1
J-1041,1
J-1043,1
J-106,1
J-1073,1
J-1141,1
J-1143,1
J-1156,1
J-1179,1
J-1208,1
J-1255,1
J-1256,1
J-1257,1
J-1298,1
J-1299,1
J-1300,1
J-1301,1
J-1303,1
J-1304,1
J-1307,1
J-1309,1
J-136,1
J-137,1
J-144,1
J-150,1
J-151,1
J-20,1
J-203,1
J-210,1
J-220,1
J-221,1
J-26,1
J-27,1
J-316,1
J-317,1
J-319,1
J-320,1
J-333,1
J-334,1
J-365,1
J-366,1
J-373,1
J-379,1
J-421,1
J-422,1
J-434,1
J-435,1
J-457,1
J-458,1
J-501,1
J-502,1
J-516,1
J-517,1
J-529,1
J-540,1
J-541,1
J-544,1
J-545,1
J-555,1
J-565,1
J-574,1
J-581,1
J-582,1
J-596,1
J-611,1
J-612,1
J-616,1
J-623,1
J-624,1
J-626,1
J-627,1
J-629,1
J-630,1
J-632,1
J-696,1
J-697,1
J-715,1
J-716,1
J-756,1
J-780,1
J-781,1
J-790,1
J-792,1
J-798,1
J-838,1
J-861,1
J-862,1
J-864,1
J-883,1
J-884,1
J-886,1
J-888,1
J-914,1
J-915,1
J-919,1
J-926,1
J-996,1
J-1000,2
J-1009,2
J-1071,2
J-1072,2
J-1081,2
J-1082,2
J-1137,2
J-1149,2
J-1150,2
J-1172,2
J-1210,2
J-1211,2
J-1217,2
J-1294,2
J-1317,2
J-1318,2
J-1319,2
J-145,2
J-245,2
