 ,0,3600,7200,10800,14400,18000,21600,25200,28800,32400,36000,39600,43200,46800,50400,54000,57600,61200,64800,68400,72000,75600,79200,82800,86400
J-1,56.6938,54.8556,55.846,57.7153,58.2652,58.7435,58.8948,58.8803,58.3483,57.7259,57.5449,57.3314,57.05,57.3047,56.7469,57.2168,56.3768,56.8402,55.6577,55.778,54.5001,54.8319,54.9367,56.6735,57.1045,
J-10,66.4032,65.3604,64.9419,66.1855,66.8256,67.4192,67.7838,68.0739,67.6909,67.1855,66.9273,66.787,66.5404,66.5679,66.2018,66.4329,65.8638,66.0868,65.2813,65.167,64.2308,64.2507,64.1974,65.3898,65.8157,
J-100,76.2035,75.4583,75.1085,76.3805,77.0226,77.5984,77.9655,78.2344,77.8379,77.3229,77.0508,76.917,76.6798,76.6717,76.359,76.5219,76.0219,76.1619,75.4003,75.2135,74.307,74.3105,74.4,75.5169,76.0312,
J-1000,60.004,61.0127,62.4523,70.5246,71.0443,71.4481,71.5115,71.3812,70.7963,70.1548,69.8995,69.7221,69.4753,69.6515,69.2152,69.5496,68.837,69.0891,67.9436,67.7282,66.5423,66.839,67.4886,69.2728,69.8585,
J-1001,70.46,69.4545,69.7192,71.9202,72.4919,72.9815,73.1815,73.2537,72.7273,72.1142,71.8581,71.6889,71.4418,71.5837,71.1648,71.4743,70.7951,71.0369,69.9702,69.7756,68.6485,68.8802,69.368,70.8765,71.3768,
J-1002,82.7817,83.0555,83.6467,84.0915,84.5552,85.085,85.6109,86.1403,86.5943,86.8758,86.9055,86.707,86.4756,86.4486,86.1583,86.2191,85.8714,85.99,85.6006,85.6404,85.16,84.9939,84.5124,84.4937,84.2643,
J-1003,70.1439,65.1745,63.1278,64.138,64.7578,65.4713,65.8469,66.3149,66.0345,65.4389,65.3856,65.0922,64.7296,65.1697,64.2835,65.1141,63.8741,64.8948,63.4146,64.1511,62.4467,63.0758,61.7958,63.6202,63.4112,
J-1004,74.598,72.9389,74.1107,76.171,76.7033,77.1453,77.2469,77.1399,76.5351,75.8901,75.6847,75.4802,75.2111,75.457,74.9318,75.3702,74.5551,74.9512,73.7571,73.7666,72.5166,72.8403,73.2175,75.0373,75.5278,
J-1005,66.0893,65.4103,66.4509,70.1536,70.6709,71.0719,71.1282,70.9779,70.381,69.7369,69.4865,69.306,69.0571,69.2426,68.7962,69.1431,68.4176,68.6841,67.5301,67.3325,66.1395,66.4408,67.0828,68.8979,69.4818,
J-1006,60.7603,59.1329,59.1151,60.8246,61.4092,61.9334,62.1663,62.3199,61.8932,61.3038,61.1031,60.9079,60.6329,60.8267,60.3146,60.7242,59.9529,60.354,59.2689,59.2862,58.1089,58.3527,58.3715,59.8744,60.2945,
J-1007,56.709,54.9734,56.3708,58.3329,58.8708,59.3269,59.4497,59.3878,58.829,58.2001,58.011,57.8012,57.525,57.7765,57.2315,57.6894,56.8601,57.2985,56.1143,56.1954,54.9296,55.2592,55.4661,57.2424,57.7048,
J-1008,69.3813,66.2955,65.1391,66.2754,66.8998,67.549,67.9033,68.2765,67.9626,67.38,67.2689,67.0233,66.6954,67.0041,66.3098,66.9174,65.9393,66.6396,65.4122,65.8005,64.4003,64.8004,64.0948,65.6296,65.7263,
J-1009,74.7142,75.2996,76.6094,83.5472,84.0671,84.4709,84.5347,84.4056,83.8219,83.1808,82.9257,82.7484,82.5014,82.6774,82.241,82.5754,81.8629,82.1155,80.9709,80.7565,79.571,79.8671,80.5129,82.2959,82.8813,
J-101,67.3656,66.545,66.2328,67.5759,68.2105,68.7823,69.133,69.3907,68.9883,68.4675,68.1986,68.0613,67.8213,67.8257,67.5009,67.6798,67.1597,67.3163,66.5247,66.3539,65.416,65.4495,65.5487,66.7099,67.2028,
J-1010,75.4622,75.3543,75.2045,75.0571,74.9231,74.7998,74.6829,74.5549,74.4066,74.2359,74.0526,73.8673,73.6844,73.5075,73.3344,73.1624,72.9939,72.8136,72.6239,72.4054,72.1787,71.9511,71.7881,71.6566,71.5778,
J-1011,57.6671,55.4813,55.5442,57.0833,57.6698,58.2196,58.4655,58.6214,58.1883,57.5891,57.4359,57.2104,56.9128,57.1804,56.579,57.0909,56.2146,56.7587,55.5785,55.7978,54.4881,54.8315,54.6139,56.2083,56.5281,
J-1012,88.6271,88.0979,89.0533,93.019,93.5415,93.9506,94.0234,93.916,93.351,92.7163,92.4639,92.2865,92.0382,92.2109,91.7734,92.1076,91.3971,91.6559,90.5205,90.32,89.1375,89.4282,90.0228,91.7812,92.3596,
J-1013,90.0892,89.5601,90.5155,94.4811,95.0037,95.4126,95.4853,95.3773,94.8118,94.1768,93.9244,93.747,93.4987,93.6716,93.2341,93.5683,92.8577,93.1163,91.9805,91.7795,90.5968,90.8878,91.4841,93.2431,93.8217,
J-1014,77.2071,77.2405,76.5425,77.1716,77.9213,78.503,79.0912,79.4812,79.2244,78.8053,78.5362,78.4159,78.2623,78.0393,78.0078,77.8175,77.8006,77.5317,77.3849,76.8744,76.5659,75.9955,76.0245,76.2828,77.0902,
J-1015,74.6811,74.7145,74.0164,74.6456,75.3953,75.977,76.5651,76.9551,76.6984,76.2793,76.0102,75.8899,75.7363,75.5132,75.4818,75.2915,75.2745,75.0057,74.8588,74.3483,74.0398,73.4694,73.4985,73.7568,74.5642,
J-1016,61.0584,60.9501,60.8,60.6528,60.5191,60.396,60.2793,60.1515,60.0032,59.8326,59.6494,59.464,59.2811,59.1042,58.9311,58.7591,58.5906,58.4104,58.2207,58.0024,57.7756,57.548,57.3845,57.253,57.1742,
J-1017,72.5725,72.7122,73.9131,78.9864,79.3742,79.4397,78.733,75.9876,72.6417,70.911,70.1833,70.0059,69.9911,70.7456,70.5198,70.8541,69.8192,69.0193,66.0191,63.3332,61.4233,62.8839,72.1868,76.7481,77.9604,
J-1018,57.2457,55.5211,56.6598,58.6488,59.1873,59.6425,59.763,59.6927,59.121,58.4879,58.2938,58.0855,57.8109,58.0595,57.5201,57.9719,57.147,57.5736,56.3899,56.4563,55.1987,55.5198,55.7647,57.5499,58.0186,
J-1019,64.7933,63.0638,64.217,66.1934,66.7328,67.1898,67.3128,67.2496,66.6846,66.0536,65.8616,65.6526,65.3769,65.6264,65.0841,65.5387,64.7115,65.144,63.9612,64.0356,62.7757,63.098,63.3203,65.0995,65.565,
J-102,60.5624,59.7418,59.4296,60.7727,61.4073,61.9791,62.3298,62.5875,62.1851,61.6644,61.3955,61.2581,61.0181,61.0226,60.6977,60.8766,60.3565,60.5132,59.7216,59.5508,58.6129,58.6464,58.7455,59.9067,60.3996,
J-1020,67.2766,66.5377,67.2119,70.4361,70.9773,71.4178,71.5414,71.5213,70.9891,70.3625,70.1106,69.9351,69.6864,69.8501,69.4165,69.7447,69.0425,69.3003,68.1867,67.9951,66.8293,67.101,67.6287,69.2751,69.8202,
J-1021,65.5065,63.778,64.912,66.8971,67.4361,67.8922,68.0136,67.9461,67.3773,66.7451,66.5519,66.3434,66.0683,66.317,65.7765,66.2293,65.4036,65.8326,64.65,64.7205,63.4623,63.7832,64.0174,65.8002,66.2679,
J-1022,57.4991,56.4796,56.7679,59.0109,59.5817,60.0723,60.2729,60.362,59.8653,59.263,59.014,58.8433,58.5928,58.7317,58.3071,58.62,57.9404,58.1991,57.1468,56.9848,55.8596,56.0838,56.4708,57.973,58.4637,
J-1023,58.7688,57.7487,58.0374,60.281,60.8517,61.3424,61.5429,61.6319,61.1353,60.5332,60.2843,60.1136,59.863,60.002,59.5771,59.8902,59.2105,59.4696,58.4172,58.2559,57.1303,57.3548,57.7403,59.2434,59.7336,
J-1024,77.4588,76.885,77.7447,81.4971,82.0253,82.4436,82.5326,82.46,81.9046,81.2704,81.0169,80.8401,80.5924,80.7628,80.3279,80.659,79.9516,80.2068,79.0735,78.8686,77.6889,77.9773,78.5679,80.2812,80.8511,
J-1025,71.9588,71.3851,72.2448,75.9972,76.5254,76.9436,77.0327,76.9601,76.4046,75.7705,75.5169,75.3402,75.0925,75.2629,74.8279,75.159,74.4517,74.7068,73.5735,73.3686,72.189,72.4774,73.0679,74.7812,75.3511,
J-1026,76.9582,76.1821,76.7695,79.7834,80.3295,80.7782,80.9182,80.9375,80.3984,79.7705,79.5164,79.3416,79.0939,79.2564,78.8259,79.1508,78.4514,78.7035,77.5869,77.3853,76.2173,76.493,77.048,78.6416,79.1798,
J-1027,77.7604,74.7277,73.3685,74.3294,74.9606,75.6423,76.0213,76.416,76.0783,75.5157,75.3741,75.1419,74.829,75.0948,74.451,74.9963,74.0824,74.7033,73.5361,73.8346,72.5017,72.851,72.2445,73.7061,73.8181,
J-1028,68.6037,65.571,64.2118,65.1727,65.8039,66.4856,66.8647,67.2593,66.9216,66.359,66.2174,65.9852,65.6724,65.9381,65.2943,65.8396,64.9257,65.5467,64.3794,64.6779,63.345,63.6943,63.0878,64.5495,64.6614,
J-1029,92.9163,91.5105,92.968,95.2793,95.7768,96.145,96.1273,95.7686,94.9431,94.2106,93.9562,93.7577,93.5126,93.7922,93.3018,93.72,92.8991,93.1775,91.8393,91.576,90.2831,90.7009,91.8683,93.9497,94.5593,
J-103,50.7698,49.7406,50.0667,52.3561,52.9236,53.4095,53.6016,53.6788,53.1788,52.5757,52.3273,52.1559,51.905,52.0458,51.6197,51.9344,51.2526,51.5135,50.4557,50.2955,49.1641,49.3944,49.7846,51.3074,51.8003,
J-1030,94.2201,92.8142,94.2718,96.583,97.0806,97.4487,97.4311,97.0724,96.2468,95.5143,95.26,95.0614,94.8163,95.096,94.6056,95.0238,94.2029,94.4813,93.1431,92.8798,91.5868,92.0046,93.172,95.2534,95.8631,
J-1031,76.9586,76.2536,76.9194,80.1467,80.6848,81.1175,81.2287,81.1811,80.5872,79.9361,79.6731,79.4975,79.2543,79.4309,79.0029,79.3299,78.6215,78.8544,77.6944,77.4432,76.2547,76.5599,77.2931,78.9631,79.5233,
J-1032,86.7491,86.22,87.1754,91.141,91.6636,92.0725,92.1451,92.0371,91.4715,90.8365,90.5841,90.4066,90.1584,90.3312,89.8937,90.228,89.5173,89.7759,88.6401,88.439,87.2563,87.5473,88.1439,89.903,90.4816,
J-1033,62.1169,60.7994,61.2192,63.2552,63.8142,64.29,64.4628,64.5107,64.0077,63.3977,63.1648,62.9822,62.7241,62.8986,62.4338,62.7948,62.0658,62.3773,61.2713,61.1474,59.9787,60.2408,60.591,62.1873,62.675,
J-1034,48.9949,45.9621,44.6028,45.5637,46.195,46.8769,47.2563,47.6522,47.3157,46.7536,46.6123,46.3801,46.0671,46.3326,45.6887,46.234,45.3202,45.9417,44.7753,45.075,43.7424,44.0912,43.4806,44.9409,45.0526,
J-1035,73.7378,72.873,73.3912,76.1999,76.7521,77.2115,77.3642,77.3889,76.8689,76.2507,75.9998,75.826,75.5767,75.7316,75.3012,75.6242,74.9299,75.1877,74.0965,73.9154,72.7643,73.0188,73.4963,75.0851,75.6095,
J-1036,67.4472,65.802,66.9985,69.0676,69.5982,70.0369,70.1339,70.0204,69.4092,68.7612,68.5537,68.3496,68.0815,68.3285,67.8048,68.2423,67.4272,67.8184,66.619,66.6175,65.3663,65.6935,66.0984,67.9257,68.4207,
J-1037,80.2402,78.8111,80.3032,82.5697,83.0638,83.4215,83.3736,82.8904,81.9449,81.1664,80.8938,80.6945,80.4584,80.7647,80.2802,80.702,79.864,80.1028,78.6855,78.3253,77.0005,77.4676,78.9937,81.2087,81.8393,
J-1038,65.4608,62.6467,61.7471,62.9508,63.5675,64.1961,64.5283,64.8572,64.5191,63.9366,63.8153,63.5744,63.254,63.5486,62.8803,63.4592,62.5132,63.1707,61.9648,62.3096,60.9411,61.3187,60.7237,62.2549,62.4101,
J-1039,84.5638,82.914,84.1026,86.1685,86.6997,87.1397,87.2388,87.1293,86.5214,85.8747,85.668,85.4638,85.1954,85.4418,84.9176,85.3552,84.5404,84.9334,83.7366,83.7394,82.4889,82.8145,83.2071,85.0299,85.523,
J-104,68.7113,67.4534,68.4107,70.7946,71.3189,71.7349,71.8112,71.6801,71.0798,70.4428,70.2055,70.0204,69.765,69.9593,69.4924,69.8621,69.1168,69.4194,68.2806,68.1357,66.9506,67.2345,67.7741,69.5807,70.1373,
J-1040,91.2679,89.8148,91.1966,93.4866,94.0029,94.4122,94.4694,94.2931,93.6637,93.0095,92.7896,92.5909,92.3289,92.5676,92.0608,92.4806,91.6814,92.0373,90.8346,90.7562,89.5168,89.8476,90.3834,92.2693,92.8124,
J-1041,70.6388,71.018,70.4059,70.9964,71.7619,72.3331,72.9449,73.3297,73.0723,72.663,72.376,72.2692,72.1361,71.8559,71.8988,71.6212,71.7114,71.3335,71.3047,70.688,70.4958,69.82,69.9397,70.0676,70.9734,
J-1042,81.7639,80.3348,81.8269,84.0934,84.5874,84.9452,84.8972,84.4141,83.4686,82.6901,82.4175,82.2181,81.9821,82.2884,81.8039,82.2256,81.3877,81.6264,80.2092,79.8489,78.5242,78.9912,80.5173,82.7324,83.363,
J-1043,62.8925,63.1905,62.5589,63.1637,63.9259,64.5005,65.1048,65.4891,65.2263,64.8105,64.5223,64.4152,64.2806,64.0049,64.0425,63.7721,63.8541,63.4837,63.4435,62.832,62.623,61.9616,62.0744,62.225,63.1301,
J-1044,66.9464,65.3012,66.4977,68.5668,69.0974,69.5361,69.6331,69.5196,68.9084,68.2603,68.0529,67.8487,67.5807,67.8277,67.304,67.7415,66.9264,67.3175,66.1182,66.1167,64.8654,65.1926,65.5975,67.4248,67.9199,
J-1045,82.5973,82.0905,82.9695,86.8995,87.4268,87.8435,87.9296,87.8518,87.2903,86.6554,86.4011,86.2247,85.9773,86.1475,85.7132,86.0438,85.3368,85.5901,84.4576,84.2502,83.0707,83.3593,83.9601,85.6793,86.2514,
J-1046,67.6329,66.2082,67.7021,69.9686,70.4604,70.8123,70.751,70.2227,69.2296,68.4322,68.1515,67.9521,67.7201,68.0364,67.5555,67.9773,67.1338,67.3543,65.905,65.5021,64.1649,64.652,66.3276,68.5906,69.232,
J-1047,72.4574,71.5663,71.2902,72.7102,73.339,73.9094,74.2469,74.4995,74.0876,73.5588,73.2962,73.1532,72.91,72.9436,72.5885,72.8074,72.2453,72.4405,71.6089,71.4527,70.4986,70.5456,70.6358,71.8512,72.3164,
J-1048,55.5682,53.8069,54.4609,56.3331,56.8882,57.3704,57.5277,57.5235,56.9946,56.3749,56.1847,55.9771,55.699,55.9378,55.3958,55.8466,55.0261,55.4633,54.3091,54.3978,53.1628,53.4536,53.5786,55.2926,55.7335,
