 ,0,3600,7200,10800,14400,18000,21600,25200,28800,32400,36000,39600,43200,46800,50400,54000,57600,61200,64800,68400,72000,75600,79200,82800,86400
J-1,51.7258,49.8046,45.1851,40.5955,36.0045,24.6939,-175.226,-175.226,-175.226,-175.226,-175.226,-175.226,-175.226,-175.226,-175.226,-175.226,-175.226,-175.226,-175.226,-175.226,-175.226,-175.226,-175.226,-175.226,-175.226,
J-2,54.7589,52.8377,48.2182,43.6286,39.0376,27.727,-172.193,-172.193,-172.193,-172.193,-172.193,-172.193,-172.193,-172.193,-172.193,-172.193,-172.193,-172.193,-172.193,-172.193,-172.193,-172.193,-172.193,-172.193,-172.193,
J-3,50.8595,48.9375,44.3182,39.7285,35.1376,23.8276,-176.092,-176.092,-176.092,-176.092,-176.092,-176.092,-176.092,-176.092,-176.092,-176.092,-176.092,-176.092,-176.092,-176.092,-176.092,-176.092,-176.092,-176.092,-176.092,
J-4,51.2928,49.3708,44.7515,40.1618,35.5709,24.2609,-175.659,-175.659,-175.659,-175.659,-175.659,-175.659,-175.659,-175.659,-175.659,-175.659,-175.659,-175.659,-175.659,-175.659,-175.659,-175.659,-175.659,-175.659,-175.659,
J-5,44.9279,42.8737,38.2582,33.6679,29.0772,17.8913,-181.869,-181.869,-181.869,-181.869,-181.869,-181.869,-181.869,-181.869,-181.869,-181.869,-181.869,-181.869,-181.869,-181.869,-181.869,-181.869,-181.869,-181.869,-181.869,
J-6,47.5276,45.4735,40.858,36.2677,31.677,20.491,-179.269,-179.269,-179.269,-179.269,-179.269,-179.269,-179.269,-179.269,-179.269,-179.269,-179.269,-179.269,-179.269,-179.269,-179.269,-179.269,-179.269,-179.269,-179.269,
J-7,47.3931,45.4711,40.8518,36.2621,31.6711,20.3612,-179.559,-179.559,-179.559,-179.559,-179.559,-179.559,-179.559,-179.559,-179.559,-179.559,-179.559,-179.559,-179.559,-179.559,-179.559,-179.559,-179.559,-179.559,-179.559,
J-8,51.7258,49.8046,45.1851,40.5955,36.0045,24.6939,-175.226,-175.226,-175.226,-175.226,-175.226,-175.226,-175.226,-175.226,-175.226,-175.226,-175.226,-175.226,-175.226,-175.226,-175.226,-175.226,-175.226,-175.226,-175.226,
J-9,47.3931,45.4711,40.8518,36.2621,31.6711,20.3612,-179.559,-179.559,-179.559,-179.559,-179.559,-179.559,-179.559,-179.559,-179.559,-179.559,-179.559,-179.559,-179.559,-179.559,-179.559,-179.559,-179.559,-179.559,-179.559,
J-10,55.1819,53.275,48.6538,44.0645,39.4734,28.1505,-171.785,-171.785,-171.785,-171.785,-171.785,-171.785,-171.785,-171.785,-171.785,-171.785,-171.785,-171.785,-171.785,-171.785,-171.785,-171.785,-171.785,-171.785,-171.785,
J-11,54.7486,52.8417,48.2205,43.6312,39.0401,27.7172,-172.219,-172.219,-172.219,-172.219,-172.219,-172.219,-172.219,-172.219,-172.219,-172.219,-172.219,-172.219,-172.219,-172.219,-172.219,-172.219,-172.219,-172.219,-172.219,
J-12,36.2411,34.2023,29.5861,24.9958,20.405,9.20442,-190.72,-190.72,-190.72,-190.72,-190.72,-190.72,-190.72,-190.72,-190.72,-190.72,-190.72,-190.72,-190.72,-190.72,-190.72,-190.72,-190.72,-190.72,-190.72,
J-13,40.1408,38.102,33.4858,28.8955,24.3047,13.1041,-186.82,-186.82,-186.82,-186.82,-186.82,-186.82,-186.82,-186.82,-186.82,-186.82,-186.82,-186.82,-186.82,-186.82,-186.82,-186.82,-186.82,-186.82,-186.82,
J-14,44.4611,35.2628,31.0123,26.3335,21.7532,17.0439,-191.452,-191.452,-191.452,-191.452,-191.452,-191.452,-191.452,-191.452,-191.452,-191.452,-191.452,-191.452,-191.452,-191.452,-191.452,-191.452,-191.452,-191.452,-191.452,
J-15,44.8944,35.6961,31.4456,26.7668,22.1865,17.4772,-191.019,-191.019,-191.019,-191.019,-191.019,-191.019,-191.019,-191.019,-191.019,-191.019,-191.019,-191.019,-191.019,-191.019,-191.019,-191.019,-191.019,-191.019,-191.019,
J-16,41.4407,39.4019,34.7857,30.1954,25.6047,14.404,-185.521,-185.521,-185.521,-185.521,-185.521,-185.521,-185.521,-185.521,-185.521,-185.521,-185.521,-185.521,-185.521,-185.521,-185.521,-185.521,-185.521,-185.521,-185.521,
