 ,0,3600,7200,10800,14400,18000,21600,25200,28800,32400,36000,39600,43200,46800,50400,54000,57600,61200,64800,68400,72000,75600,79200,82800,86400
J-1,117.375,117.87,118.605,119.286,119.856,120.28,123.08,122.133,121.216,120.759,120.546,120.518,120.597,120.815,120.981,121.095,121.104,120.878,120.392,119.665,119.146,119.027,121.542,124.102,125.919,
J-10,83.7678,84.3854,85.0615,85.7314,86.3478,86.8758,88.213,88.2126,88.1676,88.2415,88.319,88.3742,88.4283,88.5161,88.6291,88.7461,88.8428,88.8826,88.8339,88.5267,88.1545,87.9056,88.3238,89.5913,90.8727,
J-100,81.3886,81.6611,82.2972,82.9597,83.5582,84.0433,85.3474,85.2614,85.0614,85.0506,85.0916,85.1321,85.1851,85.2794,85.3965,85.5151,85.6095,85.6301,85.5008,85.1194,84.7069,84.4674,85.0798,86.507,87.9725,
J-101,74.7375,75.0098,75.6459,76.3083,76.907,77.3923,78.6968,78.6123,78.414,78.4039,78.4451,78.4856,78.5384,78.6324,78.7494,78.868,78.9626,78.9838,78.8557,78.4757,78.0636,77.8234,78.4306,79.8563,81.3214,
J-102,84.8362,85.7914,86.6072,87.3735,88.0829,88.7117,92.0686,91.415,90.7661,90.4851,90.3727,90.3751,90.4474,90.6243,90.7768,90.8959,90.9381,90.8054,90.4728,89.902,89.4362,89.2528,91.0309,93.2284,94.943,
J-103,84.3289,85.2842,86.0999,86.8662,87.5756,88.2044,91.5613,90.9077,90.2589,89.9778,89.8654,89.8679,89.9401,90.1171,90.2695,90.3887,90.4309,90.2981,89.9655,89.3948,88.9289,88.7455,90.5237,92.7212,94.4357,
J-104,111.452,111.964,112.69,113.356,113.904,114.301,117.017,116.02,115.073,114.61,114.396,114.369,114.45,114.672,114.838,114.949,114.952,114.716,114.216,113.474,112.959,112.857,115.45,118.027,119.83,
J-105,128.454,128.967,129.699,130.371,130.923,131.322,134.055,133.046,132.087,131.618,131.4,131.373,131.455,131.68,131.847,131.959,131.963,131.723,131.217,130.466,129.945,129.843,132.468,135.074,136.895,
J-106,83.0025,83.2686,83.9016,84.5643,85.1677,85.6626,86.991,86.948,86.7673,86.7388,86.773,86.811,86.8618,86.9529,87.0695,87.1885,87.2844,87.3107,87.1953,86.8349,86.4285,86.1783,86.7352,88.1403,89.5948,
J-107,74.6167,74.3952,74.935,75.5841,76.1922,76.6752,77.9377,77.7987,77.1584,76.7552,76.5675,76.5398,76.6081,76.7948,76.9575,77.0844,77.1283,76.9689,76.5203,75.7326,75.1505,75.0368,76.967,78.7805,80.4348,
J-108,79.1071,78.8837,79.4226,80.0717,80.6808,81.1665,82.4351,82.3166,81.698,81.3034,81.1194,81.0917,81.1582,81.3403,81.5014,81.6282,81.6747,81.5236,81.0896,80.3213,79.7449,79.6221,81.4842,83.2759,84.9253,
J-109,93.9428,94.3035,94.9506,95.6137,96.2147,96.7092,97.9913,97.9462,97.8107,97.8317,97.8969,97.946,97.9981,98.0835,98.196,98.3137,98.4129,98.4511,98.351,98.0042,97.6071,97.3594,97.858,99.2171,100.623,
J-11,108.756,109.37,110.003,110.646,111.28,111.88,112.834,113.344,113.7,113.93,114.06,114.126,114.176,114.241,114.343,114.459,114.57,114.649,114.645,114.489,114.207,113.901,113.814,114.434,115.297,
J-110,84.9717,85.3241,85.9702,86.6333,87.2342,87.7283,89.014,88.9672,88.8264,88.8431,88.9058,88.9542,89.0063,89.0922,89.205,89.3228,89.4217,89.4588,89.3574,89.0097,88.6121,88.3644,88.8685,90.2332,91.6443,
J-111,73.4749,74.1258,74.8113,75.487,76.1142,76.661,78.1257,78.1194,78.0701,78.1344,78.2018,78.2544,78.3107,78.4059,78.5216,78.6385,78.7309,78.7565,78.6829,78.3786,78.0198,77.7659,78.2539,79.5292,80.7913,
J-112,84.2428,84.583,85.2274,85.8904,86.4916,86.9854,88.2771,88.2287,88.0808,88.0908,88.1496,88.1967,88.2486,88.3354,88.4488,88.5668,88.6652,88.7006,88.5972,88.2477,87.8492,87.6014,88.114,89.4862,90.9045,
J-113,60.0683,60.6851,61.296,61.927,62.5677,63.1973,63.9715,64.7035,65.2167,65.5043,65.6541,65.7246,65.7726,65.8295,65.9265,66.0418,66.1587,66.2522,66.2685,66.1534,65.8916,65.5721,65.3062,65.6592,66.3419,
J-114,61.7554,62.3723,62.9832,63.6142,64.2549,64.8845,65.6587,66.3907,66.9039,67.1915,67.3413,67.4118,67.4598,67.5167,67.6137,67.729,67.8459,67.9393,67.9557,67.8406,67.5788,67.2593,66.9934,67.3464,68.0291,
J-115,75.3741,76.0009,76.6774,77.3473,77.9647,78.4952,79.8278,79.8342,79.7942,79.8696,79.9475,80.0029,80.0572,80.1452,80.2583,80.3752,80.4718,80.5112,80.4629,80.1575,79.7877,79.5385,79.9539,81.2132,82.4856,
J-116,62.6937,62.9757,63.6122,64.2756,64.8787,65.3732,66.7046,66.654,66.4743,66.4498,66.4869,66.5261,66.5772,66.6683,66.7847,66.9036,66.9994,67.0261,66.912,66.5525,66.1471,65.8977,66.4554,67.8638,69.3159,
J-117,68.176,68.4575,69.0936,69.7568,70.36,70.8548,72.1848,72.1361,71.9575,71.9337,71.9709,72.0102,72.0613,72.1523,72.2686,72.3875,72.4834,72.5102,72.3962,72.0369,71.6318,71.3822,71.9385,73.3445,74.7951,
J-118,58.3312,58.9633,59.6421,60.3134,60.9331,61.4673,62.8324,62.8351,62.7928,62.8655,62.941,62.9956,63.0502,63.1397,63.2533,63.3703,63.466,63.5027,63.4495,63.1457,62.7788,62.5278,62.9564,64.2209,65.4925,
J-119,82.9666,83.9356,84.775,85.543,86.2307,86.8145,90.3419,89.439,88.5601,88.1547,87.9759,87.9632,88.0472,88.2658,88.4346,88.5534,88.57,88.3569,87.8859,87.163,86.647,86.52,88.9503,91.4639,93.2877,
J-12,102.523,103.138,103.773,104.418,105.051,105.649,106.623,107.112,107.452,107.676,107.803,107.869,107.919,107.986,108.088,108.204,108.314,108.391,108.384,108.224,107.942,107.637,107.568,108.215,109.095,
J-120,77.4759,78.4449,79.2843,80.0523,80.74,81.3238,84.8511,83.9482,83.0692,82.6637,82.4849,82.4722,82.5562,82.7748,82.9436,83.0624,83.079,82.8659,82.3948,81.6719,81.1558,81.0289,83.4595,85.9732,87.7969,
J-121,101.53,102.23,102.932,103.618,104.26,104.83,106.505,106.443,106.333,106.359,106.4,106.447,106.512,106.63,106.755,106.871,106.95,106.931,106.776,106.425,106.073,105.833,106.608,107.945,109.192,
J-122,90.0111,90.7111,91.4131,92.0984,92.7404,93.3107,94.9858,94.9223,94.8117,94.8376,94.8778,94.9255,94.9898,95.1085,95.2329,95.3497,95.4286,95.4094,95.2533,94.9017,94.5494,94.3099,95.0879,96.4252,97.6724,
J-123,68.4262,68.6988,69.3332,69.9963,70.5999,71.0951,72.4277,72.3823,72.2022,72.1746,72.2094,72.2476,72.2985,72.3896,72.5063,72.6253,72.721,72.7473,72.6324,72.2724,71.8663,71.6161,72.174,73.5808,75.0341,
J-124,68.1253,68.4272,69.0668,69.7306,70.3335,70.8283,72.1569,72.1036,71.9305,71.9142,71.9561,71.9972,72.0486,72.1391,72.255,72.3736,72.4697,72.4979,72.3862,72.0289,71.6252,71.3762,71.9273,73.3301,74.7742,
J-125,59.9437,60.2497,60.8943,61.5623,62.1699,62.6705,64.094,64.0154,63.8172,63.7769,63.8012,63.8367,63.8885,63.9849,64.1041,64.2232,64.3156,64.3329,64.2149,63.8509,63.443,63.1931,63.8064,65.2608,66.7233,
J-126,62.2056,62.5116,63.1561,63.8242,64.4318,64.9324,66.3559,66.2772,66.0791,66.0388,66.0631,66.0985,66.1504,66.2468,66.366,66.4851,66.5775,66.5948,66.4768,66.1128,65.7049,65.455,66.0683,67.5226,68.9852,
J-127,61.9857,62.0749,62.6824,63.3456,63.9595,64.4687,65.9288,65.9355,65.7175,65.6028,65.5767,65.5898,65.635,65.7325,65.8557,65.9773,66.0695,66.0805,65.9438,65.5678,65.1387,64.871,65.4975,66.96,68.4739,
J-128,85.5042,85.9126,86.5648,87.2274,87.8288,88.3272,89.5793,89.5569,89.4588,89.507,89.5864,89.6405,89.6925,89.7734,89.8836,90.0008,90.1023,90.149,90.0569,89.7145,89.319,89.0712,89.531,90.8444,92.2139,
J-129,75.4735,75.7538,76.3913,77.0538,77.6519,78.1363,79.4363,79.3489,79.1546,79.1514,79.1956,79.237,79.2899,79.3835,79.5002,79.6187,79.7135,79.7355,79.608,79.2283,78.8165,78.5767,79.1801,80.6024,82.0649,
J-13,84.391,85.3724,86.1996,86.9797,87.7184,88.3915,91.9638,91.3043,90.6354,90.3278,90.1961,90.1921,90.2653,90.4496,90.605,90.724,90.7614,90.6126,90.2479,89.6551,89.185,89.0058,90.8894,93.1074,94.8229,
J-130,115.966,116.662,117.329,117.969,118.551,119.027,119.649,119.238,118.595,118.434,118.391,118.456,118.591,118.87,119.048,119.164,119.157,118.847,118.147,117.045,116.478,116.612,119.747,121.353,122.42,
J-132,60.2341,60.5096,61.1494,61.8167,62.4246,62.9256,64.3506,64.2812,64.0818,64.0336,64.0528,64.0859,64.1369,64.2331,64.3526,64.4719,64.5645,64.5817,64.4613,64.0961,63.6856,63.4336,64.0483,65.5051,66.9729,
J-133,64.3089,64.774,65.4325,66.098,66.7024,67.2046,68.4961,68.4589,68.3505,68.3904,68.4619,68.5141,68.5668,68.6518,68.764,68.8814,68.9803,69.0208,68.9352,68.5982,68.2066,67.9595,68.4362,69.7715,71.1414,
